Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost
USA,Tropical Storm,Cyclone #8,9/16/24,2024,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,30000
USA,Tropical Storm,Cyclone #8,9/16/24,2024,OMA,132,FSRM,Emergency Center Wharf Entrance Repair - storm water undermined N entrance to CW.  Repair required for MISSION.  MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,868054
USA,Tropical Storm,Cyclone #8,9/16/24,2024,TWCF,Unk,932,Emergency PTC8 Mainline Rail Repairs - Permenent repairs to bring Mainline operational within 30 days to support MISSION:  MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,4015000
USA,Tropical Storm,Cyclone #8,9/16/24,2024,TWCF,Unk,932,Emergency PTC8 Tressel Rail Bridge inspections - to ensure there is no underwater dammage to bridges MISSION ESSENTIAL,Military Ocean Terminal Sunny Point,NC,90000
USA,Tropical Storm,Cyclone #8,9/16/24,2024,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,25000000
USA,Tropical Storm,Cyclone #8,9/16/24,2024,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,15000000
USA,Strong Wind,,1/8/23,2023,OMA,131,Unk,"Emergency clean up, Overtime labor",Fort Bliss,Texas,29670
USA,Strong Wind,,1/8/23,2023,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Bliss,Texas,15433410
USA,Hurricane (Typhoon),Helene,9/26/24,2024,OMA,121,Unk,"Labor,Travel, OT",Fort Eisenhower,GA,10000
USA,Hurricane (Typhoon),Helene,9/26/24,2024,OMA,131,Unk,"Emergency Portable Latrines, Loabor, Travel OT, Tree Removal, Debris Clean up due to no water/power",Fort Eisenhower,GA,36978800
USA,Hurricane (Typhoon),Helene,9/26/24,2024,OMA,132,FSRM,Cabin Repair Legion Landing,Fort Eisenhower,GA,15000
USA,Hurricane (Typhoon),Helene,9/26/24,2024,OMA,132,FSRM,Facility and Infrastructure Damage still under assessment,Fort Eisenhower,GA,36500000
USA,Hurricane (Typhoon),Helene,9/27/24,2024,OMA,131,Unk,Repair Roof & Gutters - Relocatable facilities,Fort Stewart,GA,46400
USA,Hurricane (Typhoon),Helene,9/27/24,2024,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,1250000
USA,Hurricane (Typhoon),Helene,9/27/24,2024,OMA,131,Unk,Replace tower Morgans Bridge,Fort Stewart,GA,1250000
